sse,iteration
45496.33632013878,310
45493.06447240785,311
45489.81321912391,312
45486.582405093286,313
45483.37187661089,314
45480.18148143955,315
45477.011068790045,316
45473.860489301536,317
45470.72959502223,318
45467.61823939056,319
45464.52627721655,320
45461.45356466387,321
45458.39995923187,322
45455.36531973819,323
45452.34950630163,324
45449.35238032538,325
45446.373804480434,326
45443.413642689615,327
45440.47176011146,328
45437.54802312484,329
45434.64229931355,330
45431.75445745143,331
45428.88436748742,332
45426.031900531314,333
45423.19692883943,334
45420.37932580062,335
45417.57896592268,336
45414.79572481885,337
45412.02947919442,338
45409.280106834085,339
45406.54748658881,340
45403.83149836345,341
45401.13202310443,342
45398.44894278758,343
45395.78214040618,344
45393.13149995936,345
45390.49690644037,346
45387.8782458255,347
45385.275405062726,348
45382.68827206085,349
45380.11673567869,350
45377.560685714496,351
45375.020012895504,352
45372.49460886761,353
45369.984366185345,354
45367.4891783019,355
45365.008939559324,356
45362.54354517888,357
45360.09289125157,358
45357.6568747288,359
45355.235393413204,360
45352.82834594954,361
45350.43563181582,362
45348.05715131442,363
45345.692805563594,364
45343.342496488796,365
45341.006126814405,366
45338.683600055265,367
45336.374820508856,368
45334.07969324685,369
45331.79812410753,370
45329.53001968781,371
45327.27528733555,372
45325.033835142065,373
45322.805571934514,374
45320.590407268624,375
45318.38825142148,376
45316.1990153841,377
45314.022610854634,378
45311.85895023125,379
45309.7079466053,380
45307.569513754526,381
45305.44356613637,382
45303.33001888126,383
45301.22878778633,384
45299.13978930874,385
45297.062940559495,386
45294.99815929712,387
45292.94536392143,388
45290.90447346748,389
45288.875407599604,390
45286.85808660532,391
45284.85243138958,392
45282.858363468906,393
45280.875804965704,394
45278.90467860257,395
45276.94490769679,396
45274.99641615467,397
45273.05912846631,398
45271.132969700004,399
45269.21786549709,400
45267.31374206659,401
45265.42052618008,402
45263.538145166596,403
45261.6665269075,404
45259.805599831554,405
45257.95529290983,406
45256.11553565105,407
45254.28625809662,408
45252.46739081581,409
45250.65886490111,410
45248.860611963624,411
45247.07256412839,412
45245.29465402979,413
45243.52681480716,414
45241.76898010017,415
45240.02108404462,416
45238.283061267946,417
45236.554846884916,418
45234.836376493506,419
45233.1275861705,420
45231.42841246753,421
45229.73879240677,422
45228.058663476986,423
45226.38796362949,424
45224.72663127405,425
45223.07460527515,426
45221.43182494794,427
45219.79823005431,428
45218.173760799364,429
45216.55835782732,430
45214.95196221801,431
45213.35451548298,432
45211.76595956199,433
45210.18623681944,434
45208.61529004054,435
45207.05306242801,436
45205.49949759846,437
45203.95453957898,438
45202.4181328036,439
45200.89022211,440
45199.3707527361,441
45197.859670316684,442
45196.35692088021,443
45194.86245084541,444
45193.3762070182,445
45191.89813658837,446
45190.42818712647,447
45188.96630658061,448
45187.51244327349,449
45186.066545899186,450
45184.62856352018,451
45183.198445564296,452
45181.776141821785,453
45180.361602442325,454
45178.95477793208,455
45177.5556191508,456
45176.16407730905,457
45174.780103965226,458
45173.40365102284,459
45172.03467072765,460
45170.673115665006,461
45169.31893875706,462
45167.972093259916,463
45166.63253276126,464
45165.300211177455,465
45163.97508275093,466
45162.657102047684,467
45161.34622395462,468
45160.042403676984,469
45158.745596735855,470
45157.4557589657,471
45156.172846511676,472
45154.89681582744,473
45153.62762367245,474
45152.365227109825,475
45151.10958350356,476
45149.86065051659,477
45148.61838610813,478
45147.3827485314,479
45146.153696331436,480
45144.93118834265,481
45143.71518368664,482
45142.50564176993,483
45141.302522281796,484
45140.10578519187,485
45138.9153907482,486
45137.73129947489,487
45136.55347217008,488
45135.38186990372,489
45134.21645401555,490
45133.05718611287,491
45131.90402806862,492
45130.756942019245,493
45129.61589036269,494
45128.4808357563,495
45127.35174111498,496
45126.22856960904,497
45125.111284662285,498
45123.99984995017,499
45122.894229397716,500
45121.794387177695,501
45120.700287708685,502
45119.61189565317,503
45118.529175915755,504
45117.45209364131,505
45116.380614213,506
45115.31470325059,507
45114.25432660867,508
45113.199450374785,509
45112.15004086771,510
45111.10606463569,511
45110.067488454646,512
45109.03427932659,513
45108.00640447769,514
45106.98383135682,515
45105.96652763373,516
45104.95446119744,517
45103.9476001545,518
45102.945912827476,519
45101.94936775323,520
45100.95793368135,521
45099.971579572535,522
45098.990274597076,523
45098.013988133156,524
45097.04268976542,525
45096.076349283336,526
45095.11493667982,527
45094.158422149405,528
45093.20677608714,529
45092.259969086736,530
45091.31797193936,531
45090.38075563197,532
45089.44829134598,533
45088.520550455774,534
45087.59750452725,535
45086.67912531646,536
45085.76538476812,537
45084.856255014325,538
45083.951708373046,539
45083.05171734683,540
45082.15625462143,541
45081.265293064425,542
45080.37880572394,543
45079.49676582723,544
45078.61914677941,545
45077.74592216218,546
45076.8770657325,547
45076.01255142121,548
45075.152353331985,549
45074.29644573983,550
45073.444803089966,551
45072.59739999653,552
45071.75421124138,553
45070.91521177282,554
45070.080376704434,555
45069.24968131386,556
45068.4231010416,557
45067.60061148982,558
45066.78218842117,559
45065.96780775771,560
45065.157445579665,561
45064.35107812418,562
45063.54868178441,563
45062.7502331083,564
45061.95570879732,565
45061.1650857056,566
45060.37834083865,567
45059.595451352296,568
45058.816394551715,569
45058.04114789015,570
45057.269688968096,571
45056.50199553198,572
45055.738045473314,573
45054.97781682755,574
45054.221287773114,575
45053.46843663028,576
45052.71924186029,577
45051.9736820642,578
45051.231735982015,579
45050.49338249159,580
45049.75860060769,581
45049.02736948102,582
45048.29966839728,583
45047.5754767761,584
45046.85477417018,585
45046.13754026436,586
45045.423754874624,587
45044.71339794711,588
45044.006449557375,589
45043.30288990929,590
45042.6026993342,591
45041.90585829008,592
45041.21234736052,593
45040.52214725392,594
45039.83523880258,595
45039.151602961865,596
45038.4712208093,597
45037.79407354365,598
45037.120142484186,599
45036.449409069784,600
45035.78185485804,601
45035.1174615245,602
45034.4562108618,603
45033.79808477883,604
45033.14306529997,605
45032.49113456424,606
45031.84227482451,607
45031.19646844665,608
45030.55369790884,609
45029.913945800756,610
45029.27719482267,611
45028.64342778487,612
45028.012627606775,613
45027.38477731618,614
45026.75986004853,615
45026.13785904616,616
45025.518757657555,617
45024.90253933664,618
45024.28918764193,619
45023.67868623602,620
45023.07101888461,621
45022.46616945598,622
45021.86412192024,623
45021.26486034852,624
45020.66836891245,625
45020.07463188331,626
45019.48363363137,627
45018.895358625334,628
45018.30979143148,629
