sse,iteration
331698.79014669696,1
331698.7901381915,2
331698.7901296861,3
331698.7901211807,4
331698.79011267517,5
331698.79010416975,6
331698.79009566427,7
331698.79008715873,8
331698.79007865326,9
331698.79007014784,10
331698.7900616423,11
331698.7900531368,12
331698.7900446314,13
331698.790036126,14
331698.7900276203,15
331698.79001911497,16
331698.7900106094,17
331698.7900021039,18
331698.7899935986,19
331698.789985093,20
331698.78997658764,21
331698.7899680821,22
331698.7899595766,23
331698.78995107114,24
331698.7899425656,25
331698.78993406007,26
331698.7899255547,27
331698.7899170491,28
331698.78990854375,29
331698.7899000383,30
331698.78989153274,31
331698.78988302726,32
331698.7898745218,33
331698.7898660162,34
331698.7898575108,35
331698.78984900535,36
331698.78984049987,37
331698.78983199445,38
331698.78982348903,39
331698.7898149835,40
331698.789806478,41
331698.78979797254,42
331698.789789467,43
331698.7897809616,44
331698.78977245616,45
331698.7897639505,46
331698.78975544526,47
331698.78974693967,48
331698.7897384342,49
331698.7897299287,50
331698.7897214232,51
331698.78971291776,52
331698.7897044123,53
331698.78969590686,54
331698.7896874013,55
331698.7896788959,56
331698.78967039037,57
331698.7896618849,58
331698.78965337935,59
331698.78964487393,60
331698.7896363684,61
331698.789627863,62
331698.78961935744,63
331698.789610852,64
331698.7896023465,65
331698.78959384095,66
331698.7895853356,67
331698.78957683017,68
331698.78956832463,69
331698.78955981915,70
331698.7895513137,71
331698.7895428082,72
331698.7895343028,73
331698.78952579724,74
331698.78951729176,75
331698.7895087863,76
331698.7895002809,77
331698.78949177533,78
331698.7894832698,79
331698.7894747644,80
331698.78946625895,81
331698.7894577535,82
331698.7894492479,83
331698.7894407426,84
331698.7894322369,85
331698.78942373156,86
331698.7894152261,87
331698.78940672067,88
331698.7893982151,89
331698.7893897097,90
331698.7893812042,91
331698.78937269864,92
331698.7893641932,93
331698.7893556877,94
331698.7893471822,95
331698.7893386768,96
331698.7893301712,97
331698.7893216658,98
331698.78931316047,99
331698.7893046549,100
331698.78929614945,101
331698.78928764374,102
331698.78927913844,103
331698.78927063296,104
331698.7892621275,105
331698.789253622,106
331698.78924511647,107
331698.78923661105,108
331698.7892281055,109
331698.78921960003,110
331698.78921109467,111
331698.789202589,112
331698.7891940836,113
331698.7891855782,114
331698.7891770727,115
331698.7891685673,116
331698.7891600618,117
