sse,iteration
202740.64858424338,110
202737.01186082797,111
202733.3752707764,112
202729.73881408377,113
202726.1024907451,114
202722.4663007555,115
202718.83024410994,116
202715.1943208034,117
202711.55853083095,118
202707.9228741877,119
202704.28735086863,120
202700.65196086877,121
202697.0167041832,122
202693.381580807,123
202689.74659073507,124
202686.11173396255,125
202682.47701048444,126
202678.8424202958,127
202675.2079633918,128
202671.5736397672,129
202667.93944941726,130
202664.30539233692,131
202660.67146852135,132
202657.03767796542,133
202653.40402066422,134
202649.77049661303,135
202646.13710580644,136
202642.5038482399,137
202638.87072390819,138
202635.23773280642,139
202631.60487492976,140
202627.97215027316,141
202624.33955883168,142
202620.7071006002,143
202617.0747755741,144
202613.44258374808,145
202609.81052511744,146
202606.17859967702,147
202602.54680742204,148
202598.91514834762,149
202595.28362244845,150
202591.65222971982,151
202588.02097015674,152
202584.3898437543,153
202580.7588505075,154
202577.1279904113,155
202573.4972634609,156
202569.86666965118,157
202566.2362089774,158
202562.6058814345,159
202558.97568701746,160
202555.3456257214,161
202551.71569754134,162
202548.0859024723,163
202544.45624050952,164
202540.8267116477,165
202537.19731588213,166
202533.56805320783,167
202529.9389236199,168
202526.30992711312,169
202522.68106368292,170
202519.05233332404,171
202515.42373603175,172
202511.79527180095,173
202508.16694062675,174
202504.53874250414,175
202500.9106774283,176
202497.2827453941,177
202493.65494639677,178
202490.02728043136,179
202486.3997474927,180
202482.77234757598,181
202479.1450806763,182
202475.51794678863,183
202471.89094590806,184
202468.26407802958,185
202464.6373431484,186
202461.01074125944,187
202457.38427235768,188
202453.75793643843,189
202450.13173349644,190
202446.505663527,191
202442.87972652502,192
202439.25392248557,193
202435.62825140374,194
202432.0027132746,195
202428.37730809324,196
202424.7520358545,197
202421.12689655373,198
202417.5018901858,199
202413.87701674574,200
202410.25227622868,201
202406.62766862978,202
202403.0031939439,203
202399.3788521661,204
202395.75464329156,205
202392.13056731535,206
202388.50662423234,207
202384.88281403785,208
202381.25913672667,209
202377.63559229404,210
202374.01218073495,211
202370.38890204445,212
202366.76575621762,213
202363.14274324937,214
202359.519863135,215
202355.89711586942,216
202352.27450144777,217
202348.652019865,218
202345.0296711162,219
202341.4074551965,220
202337.78537210086,221
202334.16342182452,222
202330.5416043623,223
202326.91991970938,224
202323.29836786079,225
202319.67694881174,226
202316.05566255702,227
202312.43450909184,228
202308.8134884113,229
202305.19260051035,230
202301.57184538408,231
202297.95122302763,232
202294.33073343593,233
202290.7103766041,234
202287.09015252732,235
202283.47006120055,236
202279.85010261874,237
202276.23027677706,238
202272.6105836706,239
202268.9910232944,240
202265.3715956435,241
202261.75230071295,242
202258.13313849783,243
202254.51410899323,244
202250.89521219413,245
202247.2764480957,246
202243.65781669298,247
202240.03931798102,248
202236.42095195473,249
202232.80271860946,250
202229.18461794002,251
202225.56664994164,252
202221.94881460938,253
202218.33111193817,254
202214.71354192315,255
202211.09610455926,256
202207.47879984186,257
202203.86162776576,258
202200.2445883262,259
202196.62768151806,260
202193.01090733655,261
202189.39426577673,262
202185.77775683353,263
202182.16138050216,264
202178.5451367776,265
202174.92902565503,266
202171.31304712943,267
202167.69720119567,268
202164.0814878492,269
202160.4659070848,270
202156.85045889777,271
202153.23514328297,272
202149.61996023558,273
202146.00490975057,274
202142.38999182318,275
202138.77520644828,276
202135.160553621,277
202131.54603333652,278
202127.93164558982,279
202124.317390376,280
202120.70326768997,281
202117.08927752706,282
202113.47541988204,283
202109.86169475038,284
202106.2481021268,285
202102.6346420065,286
202099.0213143846,287
202095.40811925603,288
202091.79505661593,289
202088.18212645943,290
202084.5693287815,291
202080.95666357735,292
202077.3441308419,293
202073.73173057032,294
202070.11946275766,295
202066.50732739893,296
202062.89532448922,297
202059.2834540237,298
202055.6717159974,299
202052.0601104053,300
202048.44863724257,301
202044.8372965042,302
202041.2260881854,303
202037.61501228117,304
202034.00406878648,305
202030.39325769656,306
202026.7825790064,307
202023.17203271113,308
202019.56161880572,309
202015.95133728534,310
202012.34118814507,311
202008.73117137986,312
202005.12128698497,313
202001.51153495538,314
201997.90191528617,315
201994.29242797237,316
201990.68307300902,317
201987.07385039143,318
201983.46476011438,319
201979.85580217326,320
201976.24697656278,321
201972.63828327836,322
201969.0297223148,323
201965.4212936674,324
201961.8129973311,325
201958.20483330093,326
201954.5968015722,327
201950.9889021397,328
201947.38113499872,329
201943.77350014428,330
201940.16599757143,331
201936.55862727528,332
201932.9513892509,333
201929.34428349335,334
201925.73730999773,335
201922.130468759,336
201918.52375977245,337
201914.91718303296,338
201911.31073853577,339
201907.70442627594,340
201904.09824624844,341
201900.49219844842,342
201896.88628287095,343
201893.28049951117,344
201889.67484836403,345
201886.0693294247,346
201882.46394268837,347
201878.85868814986,348
201875.25356580445,349
201871.6485756472,350
201868.04371767305,351
201864.43899187725,352
201860.83439825487,353
201857.22993680087,354
201853.62560751042,355
201850.02141037857,356
201846.41734540043,357
201842.81341257098,358
201839.20961188554,359
201835.60594333895,360
201832.0024069265,361
201828.39900264313,362
201824.79573048386,363
201821.19259044394,364
201817.5895825185,365
201813.98670670233,366
201810.38396299077,367
201806.7813513789,368
201803.17887186172,369
201799.57652443426,370
201795.9743090917,371
201792.3722258291,372
201788.77027464157,373
201785.1684555242,374
201781.56676847197,375
201777.96521348009,376
201774.36379054363,377
201770.7624996576,378
201767.1613408172,379
201763.56031401746,380
201759.95941925346,381
201756.3586565202,382
201752.75802581297,383
201749.1575271267,384
201745.55716045655,385
201741.95692579745,386
201738.35682314477,387
201734.7568524934,388
201731.15701383853,389
201727.55730717504,390
201723.95773249833,391
201720.35828980326,392
201716.75897908502,393
201713.15980033868,394
201709.5607535593,395
201705.96183874202,396
201702.3630558819,397
201698.76440497403,398
201695.16588601354,399
201691.5674989954,400
201687.96924391482,401
201684.3711207668,402
201680.7731295466,403
201677.1752702491,404
201673.57754286958,405
201669.97994740307,406
201666.38248384456,407
201662.78515218917,408
201659.1879524321,409
201655.5908845684,410
201651.99394859312,411
201648.39714450145,412
201644.80047228833,413
201641.20393194898,414
201637.60752347833,415
201634.01124687176,416
201630.4151021241,417
201626.81908923056,418
201623.22320818622,419
201619.62745898613,420
201616.03184162546,421
201612.43635609935,422
201608.84100240265,423
201605.24578053073,424
201601.65069047845,425
201598.0557322412,426
201594.46090581384,427
201590.86621119152,428
201587.2716483693,429
201583.67721734243,430
201580.08291810582,431
201576.48875065465,432
201572.89471498397,433
201569.300811089,434
201565.70703896467,435
201562.1133986063,436
201558.5198900086,437
201554.92651316721,438
201551.3332680768,439
201547.7401547326,440
201544.1471731298,441
201540.5543232633,442
201536.9616051283,443
201533.36901872,444
201529.7765640333,445
201526.1842410635,446
201522.5920498056,447
201518.99999025467,448
201515.40806240583,449
201511.81626625423,450
201508.22460179497,451
201504.63306902302,452
201501.04166793358,453
201497.45039852185,454
201493.8592607828,455
201490.26825471147,456
201486.67738030315,457
201483.0866375528,458
201479.4960264556,459
201475.90554700646,460
201472.31519920076,461
201468.7249830335,462
201465.13489849976,463
201461.5449455946,464
201457.9551243132,465
201454.3654346506,466
201450.77587660187,467
201447.1864501622,468
201443.5971553267,469
201440.00799209042,470
201436.41896044853,471
201432.83006039602,472
201429.24129192813,473
201425.65265503988,474
201422.0641497264,475
201418.47577598272,476
201414.88753380408,477
201411.29942318547,478
201407.71144412208,479
201404.12359660905,480
201400.5358806412,481
201396.948296214,482
201393.36084332239,483
201389.7735219614,484
201386.18633212626,485
201382.59927381214,486
201379.01234701398,487
201375.42555172695,488
201371.8388879462,489
201368.25235566671,490
201364.66595488385,491
201361.07968559235,492
201357.4935477876,493
201353.9075414646,494
201350.3216666186,495
201346.7359232445,496
201343.15031133746,497
201339.56483089272,498
201335.97948190532,499
201332.39426437032,500
201328.80917828286,501
201325.224223638,502
201321.63940043084,503
201318.05470865674,504
201314.4701483105,505
201310.88571938738,506
201307.30142188247,507
201303.71725579083,508
201300.13322110765,509
201296.54931782797,510
201292.96554594688,511
201289.38190545962,512
201285.7983963612,513
201282.21501864676,514
201278.6317723114,515
201275.04865735027,516
201271.4656737584,517
201267.88282153095,518
201264.30010066304,519
201260.71751114982,520
201257.1350529863,521
201253.5527261677,522
201249.9705306891,523
201246.38846654567,524
201242.80653373234,525
201239.22473224436,526
201235.64306207674,527
201232.06152322487,528
201228.48011568352,529
201224.898839448,530
201221.31769451336,531
201217.73668087478,532
201214.1557985273,533
201210.57504746603,534
201206.99442768618,535
201203.41393918276,536
201199.83358195092,537
201196.2533559858,538
201192.6732612825,539
201189.09329783614,540
201185.51346564182,541
201181.93376469472,542
201178.35419498995,543
201174.77475652244,544
201171.1954492876,545
201167.6162732803,546
201164.0372284958,547
201160.45831492916,548
201156.8795325755,549
201153.30088142995,550
201149.7223614877,551
201146.14397274374,552
201142.56571519322,553
201138.98758883128,554
201135.40959365308,555
201131.83172965376,556
201128.25399682837,557
201124.67639517193,558
201121.09892467974,559
201117.5215853468,560
201113.94437716837,561
201110.36730013945,562
201106.79035425524,563
201103.2135395107,564
201099.63685590116,565
201096.0603034216,566
201092.48388206714,567
201088.90759183303,568
201085.33143271424,569
201081.75540470608,570
201078.17950780343,571
201074.6037420016,572
201071.0281072956,573
201067.4526036807,574
201063.8772311518,575
201060.30198970414,576
201056.7268793329,577
201053.15190003318,578
201049.57705180004,579
201046.00233462866,580
201042.42774851416,581
201038.85329345154,582
201035.2789694361,583
201031.7047764628,584
201028.13071452695,585
201024.5567836237,586
201020.98298374793,587
201017.40931489482,588
201013.83577705972,589
201010.2623702375,590
201006.68909442337,591
201003.11594961252,592
200999.54293579998,593
200995.970052981,594
200992.3973011507,595
200988.82468030392,596
200985.25219043612,597
200981.67983154237,598
200978.10760361765,599
200974.5355066572,600
200970.96354065614,601
200967.39170560963,602
200963.8200015127,603
200960.2484283605,604
200956.67698614823,605
200953.10567487095,606
200949.53449452372,607
200945.96344510195,608
200942.39252660042,609
200938.82173901453,610
200935.25108233932,611
200931.6805565697,612
200928.1101617011,613
200924.5398977286,614
200920.96976464725,615
200917.39976245217,616
200913.82989113854,617
200910.2601507015,618
200906.69054113608,619
200903.12106243754,620
200899.551714601,621
200895.98249762144,622
200892.4134114942,623
200888.8444562143,624
200885.27563177687,625
200881.70693817706,626
200878.13837540997,627
200874.56994347076,628
200871.0016423546,629
200867.4334720566,630
200863.86543257182,631
200860.29752389548,632
200856.72974602267,633
200853.1620989485,634
200849.59458266821,635
200846.02719717682,636
200842.45994246952,637
200838.89281854153,638
200835.32582538773,639
200831.75896300352,640
200828.19223138387,641
200824.62563052395,642
200821.0591604188,643
200817.4928210639,644
200813.92661245412,645
200810.3605345845,646
200806.79458745033,647
200803.2287710469,648
200799.66308536901,649
200796.09753041196,650
200792.53210617095,651
200788.96681264098,652
200785.4016498173,653
200781.8366176949,654
200778.2717162691,655
200774.70694553497,656
200771.14230548765,657
200767.57779612218,658
200764.01341743383,659
200760.4491694177,660
200756.88505206886,661
200753.32106538257,662
200749.75720935385,663
200746.1934839779,664
200742.6298892499,665
200739.06642516487,666
200735.503091718,667
200731.9398889045,668
200728.37681671942,669
200724.813875158,670
200721.25106421526,671
200717.68838388645,672
200714.12583416657,673
200710.56341505097,674
200707.00112653454,675
200703.43896861267,676
200699.87694128026,677
200696.31504453265,678
200692.7532783649,679
200689.19164277212,680
200685.63013774948,681
200682.0687632921,682
200678.5075193952,683
200674.9464060539,684
200671.38542326342,685
200667.82457101851,686
200664.26384931477,687
200660.7032581471,688
200657.1427975109,689
200653.58246740096,690
200650.02226781275,691
200646.46219874104,692
200642.90226018132,693
200639.34245212865,694
200635.78277457802,695
200632.22322752472,696
200628.6638109639,697
200625.10452489063,698
200621.54536930012,699
200617.98634418743,700
200614.42744954774,701
200610.86868537645,702
200607.3100516682,703
200603.75154841843,704
200600.19317562238,705
200596.63493327505,706
200593.07682137168,707
200589.51883990725,708
200585.96098887705,709
200582.40326827616,710
200578.84567809972,711
200575.28821834305,712
200571.73088900105,713
200568.17369006903,714
200564.61662154197,715
200561.05968341525,716
200557.5028756839,717
200553.94619834298,718
200550.38965138784,719
200546.8332348134,720
200543.27694861504,721
200539.7207927878,722
200536.1647673268,723
200532.6088722272,724
