weight,feature
-0.003016548080034704,1
1.0430012647052043,2
5.849090877981978,3
-0.434884817374366,4
3.20263360387702,5
3.3843321464405047,6
7.468285264034291,7
5.328632759282841,8
2.0576441397703342,9
4.192429541358857,10
2.4095264396716147,11
-3.5626216128368746,12
